0 ex1: 0.04 s, 5988 kB
0 ex2: 0.04 s, 5984 kB
1 0_000: 0.06 s, 5996 kB
1 0_001: 0.04 s, 5996 kB
1 1_002: 0.04 s, 5996 kB
1 1_004: 0.04 s, 5992 kB
1 1_005: 0.04 s, 5992 kB
1 1_006: 0.04 s, 5996 kB
2 00_example_01: 0.01 s, 5988 kB
2 00_example_02: 0.03 s, 5984 kB
2 01: 0.03 s, 5988 kB
2 02: 0.01 s, 5988 kB
2 03: 0.01 s, 5988 kB
2 04: 0.01 s, 5988 kB
2 05: 0.03 s, 5988 kB
2 06: 0.00 s, 5992 kB
3 1: 0.04 s, 6016 kB
3 2: 0.04 s, 6008 kB
3 3: 0.04 s, 6012 kB
3 4: 0.04 s, 6012 kB
3 5: 0.06 s, 6012 kB
3 6: 0.04 s, 6012 kB
3 7: 0.04 s, 6012 kB
3 sample1: 0.04 s, 6012 kB
3 sample2: 0.04 s, 6016 kB
3 sample3: 0.04 s, 6016 kB
4 01: 0.04 s, 5988 kB
4 02: 0.04 s, 5988 kB
4 03: 0.04 s, 5988 kB
4 04: 0.06 s, 5988 kB
4 05: 0.04 s, 5988 kB
4 06: 0.04 s, 5984 kB
4 07: 0.06 s, 5984 kB
4 08: 0.03 s, 5988 kB
4 09: 0.04 s, 5988 kB
4 10: 0.04 s, 5988 kB
4 sample01: 0.04 s, 5988 kB
4 sample02: 0.04 s, 5992 kB
4 sample03: 0.04 s, 5988 kB
5 01: 0.59 s, 6280 kB
5 02: 0.23 s, 6292 kB
5 03: 0.56 s, 6292 kB
5 04: 0.59 s, 6292 kB
5 05: 0.50 s, 6288 kB
5 06: 0.53 s, 6284 kB
5 07: 0.56 s, 6296 kB
5 08: 0.48 s, 6288 kB
5 s1: 0.06 s, 5988 kB
5 s2: 0.04 s, 5988 kB
5 s3: 0.04 s, 5992 kB
6 ex1: 0.06 s, 6004 kB
6 ex2: 0.03 s, 6008 kB
6 ex3: 0.04 s, 6012 kB
6 random: 0.04 s, 6008 kB
7 ex1: 0.04 s, 5988 kB
7 ex2: 0.04 s, 5992 kB
7 ex3: 0.04 s, 5984 kB
7 random: 0.04 s, 5988 kB
8 ex1: 0.04 s, 5988 kB
8 ex2: 0.03 s, 5980 kB
8 ex3: 2.81 s, 5992 kB
8 ex4: 11.79 s, 5988 kB
9 subtask0_0: 0.04 s, 5980 kB
9 subtask0_1: 0.03 s, 5980 kB
9 subtask0_2: 0.04 s, 5984 kB
9 subtask1_0: 0.14 s, 6080 kB
9 subtask1_10: 0.15 s, 6084 kB
9 subtask1_11: 0.17 s, 6088 kB
9 subtask1_12: 0.17 s, 6084 kB
9 subtask1_13: 0.17 s, 6084 kB
9 subtask1_14: 0.09 s, 6084 kB
9 subtask1_15: 0.12 s, 6084 kB
9 subtask1_1: 0.12 s, 6080 kB
9 subtask1_2: 0.04 s, 6080 kB
9 subtask1_3: 0.17 s, 6080 kB
9 subtask1_4: 0.17 s, 6076 kB
9 subtask1_5: 0.18 s, 6080 kB
9 subtask1_6: 0.17 s, 6080 kB
9 subtask1_7: 0.17 s, 6076 kB
9 subtask1_8: 0.17 s, 6080 kB
9 subtask1_9: 0.17 s, 6080 kB
10 0_000: 0.04 s, 5996 kB
10 0_001: 0.06 s, 5980 kB
10 0_002: 0.06 s, 6000 kB
10 1_003: 0.04 s, 5992 kB
10 1_004: 3.06 s, 6108 kB
10 1_005: 3.00 s, 6132 kB
10 1_006: 2.96 s, 6184 kB
10 1_006: 3.00 s, 6524 kB
10 1_007: 0.50 s, 6184 kB
10 1_008: 0.03 s, 6000 kB
10 1_009: 0.67 s, 6188 kB
10 1_010: 0.06 s, 5996 kB
10 1_011: 0.42 s, 6184 kB
10 1_012: 0.04 s, 6416 kB
10 1_012: 0.07 s, 6420 kB
8_2 ex1: 0.04 s, 6012 kB
8_2 ex2: 0.04 s, 6004 kB
8_2 ex3: 0.04 s, 6008 kB
8_2 ex4: 0.04 s, 6012 kB
9 subtask0_0: 0.04 s, 5980 kB
9 subtask0_1: 0.04 s, 5984 kB
9 subtask0_2: 0.04 s, 5980 kB
9 subtask1_0: 0.07 s, 6216 kB
9 subtask1_10: 0.07 s, 6224 kB
9 subtask1_11: 0.06 s, 6248 kB
9 subtask1_12: 0.04 s, 6220 kB
9 subtask1_13: 0.07 s, 6248 kB
9 subtask1_14: 0.06 s, 6248 kB
9 subtask1_15: 0.07 s, 6220 kB
9 subtask1_1: 0.06 s, 6216 kB
9 subtask1_2: 0.07 s, 6216 kB
9 subtask1_3: 0.06 s, 6220 kB
9 subtask1_4: 0.06 s, 6216 kB
9 subtask1_5: 0.06 s, 6216 kB
9 subtask1_6: 0.06 s, 6216 kB
9 subtask1_7: 0.06 s, 6220 kB
9 subtask1_8: 0.06 s, 6212 kB
9 subtask1_9: 0.06 s, 6220 kB
